country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,5620,4570,2840,2630,2290,2460,2870,2190,2510,3680,3760,4020,5100,5630,5360,5740,5430,5500,6130,6370,6140,6350,6060,5870,6300,5660,5500,5650
Argentina,105000,113000,118000,116000,120000,122000,130000,136000,138000,136000,128000,117000,96200,114000,134000,140000,156000,161000,177000,165000,177000,185000,187000,193000,197000,203000,200000,202000
Armenia,13700,13400,4120,1990,1940,2840,3090,4120,4240,5350,4020,4460,3690,4350,4510,5400,5330,7470,6500,5930,5540,5730,6330,6170,6120,5630,5700,5560
Australia,235000,233000,236000,237000,244000,250000,253000,262000,276000,275000,274000,278000,294000,301000,320000,326000,345000,358000,367000,376000,384000,391000,401000,382000,375000,373000,373000,379000
Austria,82600,87500,81700,82500,84200,88800,97000,92300,96600,91700,91800,94700,96700,99400,102000,104000,106000,101000,99400,92500,97200,99200,94100,93100,89800,91500,92100,94700
Azerbaijan,32400,29900,22300,30600,24900,25100,30700,28400,30600,26100,27400,27700,31500,34400,37000,35700,41100,32200,36300,31900,30800,34100,37300,38500,40500,40600,40100,40400
Bahrain,11000,11300,10800,13000,13300,13200,13600,12500,13700,6580,12200,10700,10200,10300,10500,13000,12000,16500,20000,19500,21000,17900,14500,17000,17900,18600,18700,18900
Bangladesh,17400,18800,19500,20500,22600,26200,27600,29300,29200,29900,32500,40400,37600,45700,47500,48500,51500,55500,56400,61800,70000,75000,78400,85300,90300,96000,98900,103000
Belarus,28700,26500,36700,38300,28500,30900,45800,46800,70900,59900,56900,56700,59200,59700,63200,59400,67000,71600,77600,56500,63300,57500,69800,72100,70500,67300,68000,69500
Belgium,147000,157000,151000,152000,156000,162000,163000,169000,180000,182000,188000,186000,198000,193000,214000,209000,218000,222000,205000,181000,193000,202000,183000,182000,179000,179000,176000,178000
Benin,939,1060,1130,1340,1500,1620,1690,1850,2050,2060,2500,2780,3130,3490,3360,4260,5790,6020,6630,6610,7000,8660,7380,7820,7600,8000,7920,8180
Bolivia,5190,5370,5890,6770,7210,8080,8220,9930,10200,10400,10200,8130,9750,8870,8510,9280,11700,9950,11400,12700,13500,14900,16400,16800,17500,17800,19300,20200
Botswana,2700,2640,2780,3200,3030,3050,2760,2800,3340,3160,9830,8420,3060,16000,10900,9610,8490,10600,11600,5480,5920,5180,5710,15300,16600,16100,17000,17200
Brazil,234000,245000,243000,253000,266000,287000,316000,335000,345000,335000,345000,348000,335000,321000,336000,346000,353000,374000,421000,386000,459000,486000,516000,553000,581000,545000,505000,513000
Brunei,3210,2940,3090,3380,3470,3240,4540,2460,3490,1960,2060,2000,2020,4100,3930,4030,4350,6520,7110,5160,5620,7150,7840,8160,8700,7710,7760,8050
Bulgaria,56100,49900,45400,45000,43100,42500,43400,39700,40900,38300,41500,43900,41300,44300,43700,45700,50000,52100,53300,43500,43000,46500,44400,38700,39900,41500,39100,40700
Burkina Faso,821,861,864,880,888,924,1010,1210,1980,2420,1610,1970,1920,1980,2330,1650,1730,2160,2370,2740,2900,2790,3010,4020,4090,4420,4540,4970
Cambodia,1790,1860,1960,2040,2180,2180,2360,2330,2830,2640,2730,3320,2670,4550,4720,5810,6470,7110,7790,8050,9880,10600,10600,12800,13700,15000,15700,16200
Cameroon,1330,890,3280,3530,3490,3820,3890,4010,4000,3260,3920,4410,4370,5230,5030,5210,5470,6220,6810,7840,8110,8360,8780,9390,11300,11800,12300,12700
Canada,474000,470000,480000,477000,489000,502000,515000,549000,557000,557000,581000,564000,583000,560000,575000,585000,568000,596000,589000,563000,595000,565000,603000,612000,610000,595000,580000,592000
Chile,30800,29500,30100,32400,34800,38300,43700,48800,50600,55700,55600,51700,53000,50100,53600,59200,65300,69500,74200,62900,73000,81300,87100,87900,85600,87800,89000,89800
China,2290000,2400000,2480000,2620000,2720000,2940000,3070000,2990000,2860000,2890000,2960000,3110000,3360000,3820000,4330000,4830000,5170000,5570000,5990000,6630000,7240000,7950000,8200000,8320000,8320000,8350000,8470000,8560000
Colombia,62700,61800,65700,69300,73800,67900,67400,73900,75800,61300,61100,62400,66200,61500,59100,65600,70500,71800,77500,78600,84600,87800,92600,103000,99800,105000,108000,106000
