country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,4000,4700,4800,3700,4300,4700,4500,4900,4800,4900,4200,4200,5400,5700,6200,6400,5800,6000,5900,5200,5300,5300,5300,5100,7000,7300,7500,4600,1900,3400,3410,,,,,,,,,,21700,25000,17800,21700,25900,23500,22800,24200,10500,7330
Albania,,,,,,,,,,,,,,,,,,,,,,,,,600,600,1400,1900,1100,2700,3890,3970,3760,3800,4100,4310,4480,4930,5060,5140,9410,10400,10300,11200,1990,,306,1900,2940,2560
Algeria,14800,17400,19300,26200,29300,31900,34400,32900,35000,34800,36500,38200,38700,40300,43400,46200,50500,48400,49400,45700,44100,45600,45900,45400,45500,47000,45100,49600,44200,36400,40200,49300,46000,44300,48500,45700,44800,44100,31000,52700,53100,53300,54300,55500,60100,65900,73500,74700,77500,76000
Angola,,,,,,,2600,4800,5000,11900,12800,15000,13900,22400,10700,13100,11100,11100,11000,6800,6900,7000,6900,5600,7600,7300,7700,7300,7400,5100,4400,4350,4340,4630,4850,4950,4970,5280,3360,3240,17100,12300,13100,14500,13700,13100,15500,13500,14000,13600
Antigua and Barbuda,,,,,,,,,,,,21300,35800,40200,45900,55500,65000,65000,61700,58000,58000,67300,68200,70800,74000,77700,77700,69300,70100,68200,62100,72000,63400,67200,25700,27000,26200,27700,28400,26400,39900,36500,33600,52600,46400,40000,40900,24000,23200,21900
Argentina,71700,75600,79000,71100,79000,89800,90000,93600,96500,104000,114000,114000,104000,109000,101000,101000,102000,112000,106000,102000,114000,78500,86300,83300,99500,112000,131000,172000,145000,184000,169000,124000,113000,91700,90500,81300,74200,79500,74600,74500,92800,90200,102000,145000,135000,146000,149000,147000,162000,163000
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,4300,4500,2900,4410,2800,3000,3840,5660,5940,6180,5980,6680,7630,8760,5560,6040,852,0,,,,814,2130
Australia,283000,288000,284000,257000,18700,18700,29300,247000,259000,259000,258000,231000,223000,231000,214000,239000,267000,283000,294000,230000,256000,284000,325000,348000,406000,396000,371000,395000,378000,385000,383000,389000,537000,530000,325000,343000,353000,354000,393000,403000,573000,593000,623000,641000,665000,669000,683000,672000,665000,684000
Austria,14900,16500,18400,20900,20000,21000,23100,24000,25800,26100,27200,27800,36400,37700,38000,37800,37700,38700,40100,39900,42000,47400,63600,73000,87700,109000,118000,121000,128000,127000,139000,134000,136000,128000,137000,142000,150000,151000,151000,139000,176000,167000,163000,166000,163000,152000,149000,157000,130000,330000
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,22200,22200,19600,19500,17200,10100,8500,8010,7920,8180,9200,11100,12500,12800,13000,12000,10300,9890,15100,16600,15900,21900,23800,24000,20700,20000,22300
