country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,7.6,2.1,0.8,1.1,13.3,10.5,12.9,13.9,12.9,19.1,21.4,19.4,18.3,11.4,19.8,19.9,7.5,8.1,8.8,11.5,9.4,8.4,8.4,6.7,12.3,12.9,13.5,35.4,15,7.4,7.81,,,,,,,,,,108,109,117,84.6,34.3,33.1,29,21.5,29.6,20
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.003,0.144,0.088,0.099,0.1,0.105,0.107,0.106,0.153,0,0,0,0,,,,,0,0
Algeria,3.1,3.7,4.2,5.2,6.6,7.2,9.1,9,11.2,12.3,12.9,14.2,15.9,28.2,14.9,21,7.7,13.3,13.9,23.1,14.6,24.3,20.2,21.3,24.2,21,16,16.8,18.8,15.4,12.6,18.3,17.9,19.1,21.4,31.6,23.7,16.6,17,4.32,15.9,14.8,14.9,17.5,21.7,21.9,21.6,24.8,28.3,25.6
Angola,,,,,,,14.2,13.4,13.6,16,20.9,33.2,20.8,46.2,25.1,33.2,24.8,25.6,26.9,51.6,39.9,41.5,41.5,28.8,55.5,58.3,62.2,41.5,38,51.8,60.6,50.8,51.3,56.5,63.7,68.1,81,72.9,70.9,64.3,47.9,51,71,70.4,65.5,46,43.9,67.3,78.2,68
Antigua and Barbuda,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.215,0.221,0.194,0.196,0.196,0.188,0.182,0.186,0.193,0.165,0.785,0.738,0.648,0.593,0.592,0.527,0.549,0.322,0.294,0.181
Argentina,47.9,57.4,79.7,85.9,98.2,74.6,96.3,120,121,137,195,196,171,174,180,187,192,198,194,201,214,202,207,232,206,177,177,220,251,241,297,124,76.4,112,124,133,125,133,132,112,193,192,180,269,262,244,254,305,312,280
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,10.7,10.4,11.3,8.79,8.26,5.36,5.03,6.97,7.04,7.39,6.15,7.17,5.7,5.98,4.49,3.01,1,0,,,,0,0.327
Australia,235,231,220,267,315,327,354,376,460,528,517,556,576,625,734,815,859,991,1030,1130,1220,1220,1360,1530,1650,1740,1830,1950,1900,1690,1730,1680,1540,1360,1900,2440,2570,2350,2210,2770,2940,2850,2730,1980,1930,1910,1870,1980,2030,1930
Austria,5.9,3.1,4.7,6.3,6.8,6.5,8.1,9.2,10.3,11.7,11.7,13.5,16.6,17.2,19.5,19.4,19.6,19.5,22.9,41.6,53.9,59.2,101,130,136,173,192,236,266,341,408,358,396,431,502,537,572,454,421,342,358,383,322,326,370,351,388,391,374,320
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,19.9,26.9,24.9,34.4,27.6,33,92.5,58.2,47.2,66,76,67.1,34.4,11.9,15.7,11.9,12,7.39,7.81,9.59,13,17.9,385,687,733,61.6,44.1,47.2
Bahamas,,,,,,1.6,1.9,1.9,2.1,3,3,3.5,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,1.1,1.5,1.6,1.76,1.64,1.64,0.59,0.571,0.561,0.568,0.586,0.489,0.0739,0.0921,0.12,0.145,0.176,0.173,0.175,0.174,0,0
Bahrain,0.8,1,1.1,1.1,2.2,4,6.8,8.2,9.6,14,26.2,21.4,21.6,23.8,30.7,32.6,31.4,31.5,33.9,40,44.3,51.2,69.8,88.1,122,133,106,96.6,105,209,209,234,244,341,417,,,,,564,504,418,338,266,258,240,387,390,421,311
Bangladesh,,,,1.2,2.7,5.3,9.3,17,15.1,19,19.6,19.8,19.9,20.6,53.1,68.8,70.8,83.2,76.5,84.1,69.5,99.4,82.6,47.7,161,165,136,200,145,143,194,170,172,175,180,183,191,89,84.2,0.013,164,160,152,225,208,57,54,61.7,50.6,86.4
Barbados,,,,,,,,0.2,0.9,0.9,0.5,0.3,1.3,,0.3,2.6,4.3,2.6,0.4,0.4,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.4,2.4,5.2,2.6,3.5,1.8,1.61,1.49,1.27,1.09,1.15,1.16,1.22,1.24,1.23,1.02,1.54,1.55,1.75,1.7,1.82,1.81,1.27,1.92,1.9,2.88
Belgium,184,202,225,239,286,281,317,339,376,395,395,442,479,489,525,565,575,536,651,661,656,486,386,478,515,595,591,678,473,535,1020,853,655,605,713,705,740,755,982,1430,1070,1240,1370,1560,1600,1480,1510,1570,1290,1350
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0699,0.0751,0.0608,1.2,3,2.46,2.69,3.75,0,0
