id,key,value,type
47713183,created_by,JOSM,regular
47722247,created_by,JOSM,regular
47724309,created_by,JOSM,regular
47736263,created_by,JOSM,regular
47736484,created_by,JOSM,regular
49633604,created_by,JOSM,regular
49633614,created_by,JOSM,regular
50823374,highway,turning_circle,regular
50856753,highway,motorway_junction,regular
50856753,ref,269B,regular
50858322,barrier,gate,regular
50858340,barrier,gate,regular
50871388,highway,motorway_junction,regular
50871388,old_ref,257B,regular
50871388,ref,257,regular
50873299,highway,turning_circle,regular
50873348,highway,turning_circle,regular
50873770,highway,turning_circle,regular
50894812,barrier,gate,regular
50899634,highway,motorway_junction,regular
50899634,ref,265,regular
50913185,barrier,gate,regular
50913783,highway,turning_circle,regular
50913813,highway,turning_circle,regular
50913918,highway,turning_circle,regular
50914040,highway,turning_circle,regular
50914070,highway,turning_circle,regular
50914073,highway,turning_circle,regular
50936366,highway,motorway_junction,regular
50936366,ref,269A,regular
50942035,highway,motorway_junction,regular
50942035,ref,255,regular
50948347,highway,turning_circle,regular
50948377,highway,turning_circle,regular
50948555,highway,motorway_junction,regular
50948555,old_ref,257A,regular
50948555,ref,257,regular
50948722,highway,motorway_junction,regular
50948722,ref,262,regular
50948732,highway,traffic_signals,regular
50952176,highway,turning_circle,regular
50952249,highway,turning_circle,regular
50952287,highway,turning_circle,regular
50966950,highway,motorway_junction,regular
50966950,ref,269B,regular
50967250,highway,turning_circle,regular
50974606,highway,turning_circle,regular
50979470,access,private,regular
50979470,barrier,gate,regular
50988869,railway,level_crossing,regular
51003595,highway,traffic_signals,regular
51006344,highway,traffic_signals,regular
51029639,highway,traffic_signals,regular
51031842,highway,turning_circle,regular
51032801,highway,turning_circle,regular
51034246,highway,traffic_signals,regular
51034246,traffic_signals,signal,regular
51034252,highway,motorway_junction,regular
51034252,ref,262,regular
51052503,highway,turning_circle,regular
51052615,highway,turning_circle,regular
51058561,barrier,gate,regular
51066118,barrier,gate,regular
51066126,highway,turning_circle,regular
51066307,barrier,gate,regular
51070236,highway,motorway_junction,regular
51070236,ref,269A,regular
51079242,highway,motorway_junction,regular
51079242,ref,268,regular
51079243,highway,traffic_signals,regular
51082086,railway,switch,regular
51083055,highway,turning_circle,regular
51083247,highway,turning_circle,regular
51088130,highway,turning_circle,regular
51088700,highway,turning_circle,regular
51088893,highway,turning_circle,regular
51088928,highway,turning_circle,regular
51089361,highway,turning_circle,regular
51091805,highway,turning_circle,regular
51092203,highway,turning_circle,regular
51092343,highway,turning_circle,regular
51092502,highway,turning_circle,regular
51093672,source,Bing,regular
51097055,highway,turning_circle,regular
51097551,highway,turning_circle,regular
51098243,highway,turning_circle,regular
51099465,highway,turning_circle,regular
51100313,railway,level_crossing,regular
51101326,railway,level_crossing,regular
51102133,highway,turning_circle,regular
51102776,highway,turning_circle,regular
51102789,highway,turning_circle,regular
51102795,highway,turning_circle,regular
51103228,highway,turning_circle,regular
51105510,highway,turning_circle,regular
51107026,barrier,gate,regular
51107030,barrier,gate,regular
51107860,highway,traffic_signals,regular
51110147,highway,traffic_signals,regular
51112351,highway,turning_circle,regular
51113271,highway,turning_circle,regular
51113338,highway,traffic_signals,regular
51113724,highway,turning_circle,regular
51113763,highway,turning_circle,regular
51113943,highway,turning_circle,regular
51114138,highway,turning_circle,regular
51114140,highway,turning_circle,regular
51114145,highway,turning_circle,regular
51115787,highway,turning_circle,regular
51116975,highway,turning_circle,regular
