id,key,value,type
5891995,cycleway,track,regular
5891995,highway,cycleway,regular
5891995,surface,paved,regular
5961327,highway,service,regular
6041730,bicycle,no,regular
6041730,hgv,designated,regular
6041730,highway,motorway,regular
6041730,lanes,2,regular
6041730,maxspeed,75 mph,regular
6041730,oneway,yes,regular
6041730,ref,I 25,regular
6142887,highway,residential,regular
6142887,name,Little Dipper Drive,regular
6142887,cfcc,A41,tiger
6142887,county,"Larimer, CO",tiger
6142887,name_base,Little Dipper,tiger
6142887,name_type,Dr,tiger
6142887,reviewed,no,tiger
6142937,highway,residential,regular
6142937,name,Wescott Court,regular
6142937,cfcc,A41,tiger
6142937,county,"Larimer, CO",tiger
6142937,name_base,Wescott,tiger
6142937,name_type,Ct,tiger
6142937,reviewed,no,tiger
6142939,highway,residential,regular
6142939,name,Boxelder Drive,regular
6142939,cfcc,A41,tiger
6142939,county,"Larimer, CO",tiger
6142939,name_base,Box Elder,tiger
6142939,name_type,Dr,tiger
6142951,highway,residential,regular
6142951,name,Blackhawk Drive,regular
6142951,cfcc,A41,tiger
6142951,county,"Larimer, CO",tiger
6142951,name_base,Blackhawk,tiger
6142951,name_type,Dr,tiger
6142951,reviewed,no,tiger
6143031,highway,track,regular
6143034,access,private,regular
6143034,highway,service,regular
6143034,cfcc,A74,tiger
6143034,county,"Larimer, CO",tiger
6143034,reviewed,no,tiger
6143034,source,tiger_import_dch_v0.6_20070809,tiger
6143034,tlid,188534250,tiger
6143034,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6143044,access,private,regular
6143044,highway,service,regular
6143044,surface,unpaved,regular
6143044,cfcc,A74,tiger
6143044,county,"Larimer, CO",tiger
6143044,reviewed,no,tiger
6143388,access,private,regular
6143388,highway,service,regular
6143388,cfcc,A41,tiger
6143388,county,"Larimer, CO",tiger
6143388,reviewed,no,tiger
6143581,bicycle,no,regular
6143581,destination,Fort Collins,regular
6143581,ref,I 25 North,destination
6143581,highway,motorway_link,regular
6143581,lanes,1,regular
6143581,oneway,yes,regular
6143581,surface,paved,regular
6143581,cfcc,A63,tiger
6143581,county,"Larimer, CO",tiger
6143665,name,Great Western Railroad,regular
6143665,old_railway_operator,Great Western,regular
6143665,operator,GWR,regular
6143665,owner,OmniTRAX,regular
6143665,railway,rail,regular
6143665,cfcc,B11,tiger
6143665,county,"Larimer, CO",tiger
6143665,name_base,Great Western Railway,tiger
6143665,reviewed,no,tiger
6143665,usage,branch,regular
6143716,highway,service,regular
6143716,cfcc,A41,tiger
6143716,county,"Larimer, CO",tiger
6143716,reviewed,no,tiger
6143719,highway,service,regular
6143719,surface,unpaved,regular
6143719,cfcc,A41,tiger
6143719,county,"Larimer, CO",tiger
6143929,highway,service,regular
6143929,cfcc,A74,tiger
6143929,county,"Larimer, CO",tiger
6143929,reviewed,no,tiger
6143937,highway,service,regular
6143937,cfcc,A41,tiger
6143937,county,"Larimer, CO",tiger
6143937,reviewed,no,tiger
6144185,access,private,regular
6144185,highway,service,regular
6144185,cfcc,A74,tiger
6144185,county,"Larimer, CO",tiger
6144185,reviewed,no,tiger
6144185,source,tiger_import_dch_v0.6_20070809,tiger
6144185,tlid,188527415,tiger
6144185,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6144363,bicycle,no,regular
6144363,destination,Fort Collins,regular
6144363,ref,CO 14 West,destination
6144363,highway,motorway_link,regular
6144363,ref,269B,junction
6144363,oneway,yes,regular
6144363,cfcc,A63,tiger
6144363,county,"Larimer, CO",tiger
6144448,highway,service,regular
6144448,cfcc,A41,tiger
6144448,county,"Larimer, CO",tiger
6144448,reviewed,no,tiger
6144535,highway,residential,regular
6144535,cfcc,A74,tiger
6144535,county,"Larimer, CO",tiger
6144843,access,private,regular
6144843,highway,service,regular
6144843,service,parking_aisle,regular
6144843,cfcc,A74,tiger
6144843,county,"Larimer, CO",tiger
6144843,reviewed,no,tiger
6145178,access,private,regular
6145178,highway,service,regular
6145178,surface,unpaved,regular
6145178,cfcc,A74,tiger
6145178,county,"Larimer, CO",tiger
6145200,bicycle,no,regular
6145200,destination,Loveland;Greeley,regular
6145200,ref,US 34,destination
6145200,highway,motorway_link,regular
6145200,ref,257,junction
6145200,lanes,2,regular
6145200,advisory,45 mph,maxspeed
6145200,oneway,yes,regular
6145200,surface,paved,regular
6145200,cfcc,A63,tiger
6145200,county,"Larimer, CO",tiger
6145298,highway,residential,regular
6145298,cfcc,A74,tiger
6145298,county,"Larimer, CO",tiger
6145323,highway,residential,regular
6145323,cfcc,A74,tiger
6145323,county,"Larimer, CO",tiger
6145702,highway,track,regular
6145702,cfcc,A41,tiger
6145702,county,"Larimer, CO",tiger
6145702,reviewed,no,tiger
6145719,highway,residential,regular
6145719,cfcc,A41,tiger
6145719,county,"Larimer, CO",tiger
6145719,reviewed,no,tiger
6145719,separated,no,tiger
6145719,source,tiger_import_dch_v0.6_20070809,tiger
6145719,tlid,188607083:188608170:188608171:188609930:188608164:188608165:188608166:188608167:188608194:188608195,tiger
6145719,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6145726,highway,residential,regular
6145726,cfcc,A41,tiger
6145726,county,"Larimer, CO",tiger
6145726,reviewed,no,tiger
6145726,separated,no,tiger
6145726,source,tiger_import_dch_v0.6_20070809,tiger
6145726,tlid,188607087:188609931,tiger
6145726,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6145752,highway,service,regular
6145752,cfcc,A41,tiger
6145752,county,"Larimer, CO",tiger
6145752,reviewed,no,tiger
6145752,separated,no,tiger
6145752,source,tiger_import_dch_v0.6_20070809,tiger
6145752,tlid,188555069,tiger
6145752,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6145894,highway,residential,regular
6145894,layer,-1,regular
6145894,cfcc,A41,tiger
6145894,county,"Larimer, CO",tiger
6145894,reviewed,no,tiger
6146535,bicycle,yes,regular
6146535,foot,yes,regular
6146535,highway,path,regular
6146535,cfcc,A41,tiger
6146535,county,"Larimer, CO",tiger
6146535,reviewed,no,tiger
6146547,highway,residential,regular
6146547,cfcc,A41,tiger
6146547,county,"Larimer, CO",tiger
6146547,reviewed,no,tiger
6146547,separated,no,tiger
6146547,source,tiger_import_dch_v0.6_20070809,tiger
6146547,tlid,188583700:188583699,tiger
6146547,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6146669,highway,tertiary,regular
6146669,name,Thompson Parkway,regular
6146669,oneway,yes,regular
6146669,cfcc,A41,tiger
6146669,county,"Larimer, CO",tiger
6146669,reviewed,no,tiger
6146864,access,private,regular
6146864,highway,service,regular
6146864,surface,unpaved,regular
6146864,cfcc,A41,tiger
6146864,county,"Larimer, CO",tiger
6146864,reviewed,no,tiger
6147063,access,private,regular
6147063,highway,service,regular
6147063,cfcc,A41,tiger
6147063,county,"Larimer, CO",tiger
6147063,reviewed,no,tiger
6147765,bicycle,yes,regular
6147765,foot,yes,regular
6147765,highway,path,regular
6147765,horse,yes,regular
6147765,surface,dirt,regular
6147765,cfcc,A41,tiger
6147765,county,"Larimer, CO",tiger
6147765,reviewed,no,tiger
6147817,highway,service,regular
6147817,surface,unpaved,regular
6147817,cfcc,A41,tiger
6147817,county,"Larimer, CO",tiger
6147817,reviewed,no,tiger
6147817,tracktype,grade2,regular
6147964,highway,service,regular
6147964,cfcc,A73,tiger
6147964,county,"Larimer, CO",tiger
6147964,reviewed,no,tiger
6147964,source,tiger_import_dch_v0.6_20070809,tiger
6147964,tlid,188585644:188586052,tiger
6147964,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6147969,highway,service,regular
6147969,cfcc,A73,tiger
6147969,county,"Larimer, CO",tiger
6147969,reviewed,no,tiger
6147969,source,tiger_import_dch_v0.6_20070809,tiger
6147969,tlid,188585647,tiger
6147969,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6148233,highway,service,regular
6148233,cfcc,A41,tiger
6148233,county,"Larimer, CO",tiger
6148233,reviewed,no,tiger
6148308,highway,residential,regular
6148308,cfcc,A74,tiger
6148308,county,"Larimer, CO",tiger
6148320,highway,residential,regular
6148320,cfcc,A74,tiger
6148320,county,"Larimer, CO",tiger
6148323,highway,residential,regular
6148323,cfcc,A74,tiger
6148323,county,"Larimer, CO",tiger
6148325,highway,residential,regular
6148325,cfcc,A74,tiger
6148325,county,"Larimer, CO",tiger
6148836,highway,service,regular
6148836,surface,unpaved,regular
6148836,cfcc,A41,tiger
6148836,county,"Larimer, CO",tiger
6148836,reviewed,no,tiger
6148836,tracktype,grade2,regular
6149527,access,private,regular
6149527,highway,service,regular
6149527,cfcc,A74,tiger
6149527,county,"Larimer, CO",tiger
6149527,reviewed,no,tiger
6149527,source,tiger_import_dch_v0.6_20070809,tiger
6149527,tlid,188555998:188536163,tiger
6149527,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6150306,highway,residential,regular
6150306,cfcc,A41,tiger
6150306,county,"Larimer, CO",tiger
6150306,reviewed,no,tiger
6150306,separated,no,tiger
6150306,source,tiger_import_dch_v0.6_20070809,tiger
6150306,tlid,188607090:188607093:188607094,tiger
